,variety,ShiftStart,ShiftEnd,ShiftTime,BreakTime,LunchBreak,Date,Week,ShiftHours,OvertimeHours
31,Mosaic,2024-09-12 11:39:53.737941,2024-09-12 21:39:53.737941,580.0,20.0,30,09-12-2024,2024-09-08/2024-09-14,9.666666666666666,0.0
32,Mosaic,2024-09-13 11:39:53.737941,2024-09-13 21:39:53.737941,580.0,20.0,30,09-13-2024,2024-09-08/2024-09-14,9.666666666666666,0.0
33,Mosaic,2024-09-14 11:39:53.737941,2024-09-14 21:39:53.737941,580.0,20.0,30,09-14-2024,2024-09-08/2024-09-14,9.666666666666666,0.0
34,Mosaic,2024-09-16 11:39:53.737941,2024-09-16 13:55:06.105878,135.20613228572074,0.0,0,09-16-2024,2024-09-15/2024-09-21,2.2534355380953457,0.0
35,HBC 1019,2024-09-16 13:55:06.105878,2024-09-16 16:49:49.190275,174.71807328544114,0.0,0,09-16-2024,2024-09-15/2024-09-21,2.9119678880906856,0.0
36,Palisade,2024-09-16 16:49:49.190275,2024-09-17 00:19:49.190275,440.0,10.0,30,09-16-2024,2024-09-15/2024-09-21,7.333333333333333,0.0
37,Palisade,2024-09-17 06:00:00.000000,2024-09-17 09:42:59.926038,222.9987673051395,0.0,0,09-17-2024,2024-09-15/2024-09-21,3.716646121752325,0.0
38,HBC 522,2024-09-17 09:42:59.926038,2024-09-17 17:12:59.926038,440.0,10.0,30,09-17-2024,2024-09-15/2024-09-21,7.333333333333333,0.0
39,HBC 522,2024-09-18 09:42:59.926038,2024-09-18 17:12:59.926038,440.0,10.0,30,09-18-2024,2024-09-15/2024-09-21,7.333333333333333,0.0
40,HBC 522,2024-09-19 09:42:59.926038,2024-09-19 10:13:23.794351,30.397805212619915,0.0,0,09-19-2024,2024-09-15/2024-09-21,0.5066300868769986,0.0
41,Idaho 7,2024-09-19 10:13:23.794351,2024-09-19 20:43:23.794351,610.0,20.0,30,09-19-2024,2024-09-15/2024-09-21,10.166666666666666,0.0
42,Idaho 7,2024-09-20 10:13:23.794351,2024-09-20 13:54:21.113939,220.95532646048116,0.0,0,09-20-2024,2024-09-15/2024-09-21,3.682588774341353,0.0
43,Talus,2024-09-20 13:54:21.113939,2024-09-20 21:24:21.113939,440.0,10.0,30,09-20-2024,2024-09-15/2024-09-21,7.333333333333333,0.0
44,Talus,2024-09-21 13:54:21.113939,2024-09-21 21:24:21.113939,440.0,10.0,30,09-21-2024,2024-09-15/2024-09-21,7.333333333333333,0.0
45,Talus,2024-09-23 13:54:21.113939,2024-09-23 15:19:34.897960,85.22973368451869,0.0,0,09-23-2024,2024-09-22/2024-09-28,1.420495561408645,0.0
46,HBC 682,2024-09-23 15:19:34.897960,2024-09-23 22:49:34.897960,440.0,10.0,30,09-23-2024,2024-09-22/2024-09-28,7.333333333333333,0.0
47,HBC 682,2024-09-24 15:19:34.897960,2024-09-24 22:49:34.897960,440.0,10.0,30,09-24-2024,2024-09-22/2024-09-28,7.333333333333333,0.0
48,HBC 682,2024-09-25 15:19:34.897960,2024-09-25 22:49:34.897960,440.0,10.0,30,09-25-2024,2024-09-22/2024-09-28,7.333333333333333,0.0
49,HBC 682,2024-09-26 15:19:34.897960,2024-09-26 22:49:34.897960,440.0,10.0,30,09-26-2024,2024-09-22/2024-09-28,7.333333333333333,0.0
50,HBC 682,2024-09-27 15:19:34.897960,2024-09-27 22:49:34.897960,440.0,10.0,30,09-27-2024,2024-09-22/2024-09-28,7.333333333333333,0.0
51,HBC 682,2024-09-28 15:19:34.897960,2024-09-28 22:49:34.897960,440.0,10.0,30,09-28-2024,2024-09-22/2024-09-28,7.333333333333333,0.0
52,HBC 682,2024-09-30 15:19:34.897960,2024-09-30 22:49:34.897960,440.0,10.0,30,09-30-2024,2024-09-29/2024-10-05,7.333333333333333,0.0
53,HBC 682,2024-10-01 15:19:34.897960,2024-10-01 22:49:34.897960,440.0,10.0,30,10-01-2024,2024-09-29/2024-10-05,7.333333333333333,0.0
54,HBC 682,2024-10-02 15:19:34.897960,2024-10-02 21:09:04.458661,339.4926783500323,10.0,30,10-02-2024,2024-09-29/2024-10-05,5.658211305833872,0.0
55,HBC 638,2024-10-03 15:19:34.897960,2024-10-03 22:49:34.897960,440.0,10.0,30,10-03-2024,2024-09-29/2024-10-05,7.333333333333333,0.0
56,HBC 638,2024-10-04 15:19:34.897960,2024-10-04 17:22:25.186378,122.83814030824328,0.0,0,10-04-2024,2024-09-29/2024-10-05,2.0473023384707214,0.0
57,HBC 586,2024-10-05 15:19:34.897960,2024-10-05 22:49:34.897960,440.0,10.0,30,10-05-2024,2024-09-29/2024-10-05,7.333333333333333,0.0
58,HBC 586,2024-10-07 15:19:34.897960,2024-10-07 22:49:34.897960,440.0,10.0,30,10-07-2024,2024-10-06/2024-10-12,7.333333333333333,0.0
59,HBC 586,2024-10-08 15:19:34.897960,2024-10-08 22:49:34.897960,440.0,10.0,30,10-08-2024,2024-10-06/2024-10-12,7.333333333333333,0.0
60,HBC 586,2024-10-09 15:19:34.897960,2024-10-09 19:44:43.332679,255.14057864511028,10.0,0,10-09-2024,2024-10-06/2024-10-12,4.252342977418505,0.0
61,Experimental,2024-10-10 15:19:34.897960,2024-10-10 21:49:02.223958,379.45543330011935,10.0,30,10-10-2024,2024-10-06/2024-10-12,6.324257221668656,0.0
