,variety,machine,acres,vpm,strings
0,Cascade,2.0,7.89,25.262,14028.42
1,Citra,2.0,34.13,31.435,78680.94499999999
2,HBC 586,2.0,13.43,22.694,29848.175
3,HBC 682,2.0,12.65,28.34,14357.35
4,Mosaic,2.0,0.764,21.16,2037.588
5,Simcoe,2.0,21.080000000000002,30.948,50330.735
6,HBC 586,2.0,15.17,29.21,28382.69
7,Mosaic,2.0,4.58,27.0,9498.92
8,Simcoe,2.0,15.0,25.544,31110.0
