,variety,start_date,ShiftHours,BreakTime
0,Citra,2024-09-04 08:00:00,7.667,20.0
1,Citra,2024-09-04 16:00:00,7.667,20.0
2,Citra,2024-09-05 00:00:00,7.667,20.0
3,Citra,2024-09-05 08:00:00,7.667,20.0
4,Citra,2024-09-05 16:00:00,7.667,20.0
5,Citra,2024-09-06 00:00:00,7.667,20.0
6,Citra,2024-09-06 08:00:00,7.667,20.0
7,Citra,2024-09-06 16:00:00,2.552,0.0
8,Experimental,2024-10-04 08:00:00,6.324,10.0
9,HBC 1019,2024-09-17 08:00:00,2.912,0.0
10,HBC 522,2024-09-19 08:00:00,7.667,20.0
11,HBC 522,2024-09-19 16:00:00,7.507,10.0
12,HBC 586,2024-10-02 08:00:00,7.667,20.0
13,HBC 586,2024-10-02 16:00:00,7.667,20.0
14,HBC 586,2024-10-03 00:00:00,7.667,20.0
15,HBC 586,2024-10-03 08:00:00,3.252,0.0
16,HBC 638,2024-10-01 08:00:00,7.667,20.0
17,HBC 638,2024-10-01 16:00:00,1.714,0.0
18,HBC 682,2024-09-25 08:00:00,7.667,20.0
19,HBC 682,2024-09-25 16:00:00,7.667,20.0
20,HBC 682,2024-09-26 00:00:00,7.667,20.0
21,HBC 682,2024-09-26 08:00:00,7.667,20.0
22,HBC 682,2024-09-26 16:00:00,7.667,20.0
23,HBC 682,2024-09-27 00:00:00,7.667,20.0
24,HBC 682,2024-09-27 08:00:00,7.667,20.0
25,HBC 682,2024-09-27 16:00:00,7.667,20.0
26,HBC 682,2024-09-30 08:00:00,2.992,0.0
27,Idaho 7,2024-09-20 08:00:00,7.667,20.0
28,Idaho 7,2024-09-20 16:00:00,6.183,10.0
29,Mosaic,2024-09-10 08:00:00,7.667,20.0
30,Mosaic,2024-09-10 16:00:00,7.667,20.0
31,Mosaic,2024-09-11 00:00:00,7.667,20.0
32,Mosaic,2024-09-11 08:00:00,7.667,20.0
33,Mosaic,2024-09-11 16:00:00,7.667,20.0
34,Mosaic,2024-09-12 00:00:00,7.667,20.0
35,Mosaic,2024-09-12 08:00:00,7.667,20.0
36,Mosaic,2024-09-12 16:00:00,7.667,20.0
37,Mosaic,2024-09-13 00:00:00,7.667,20.0
38,Mosaic,2024-09-13 08:00:00,7.667,20.0
39,Mosaic,2024-09-13 16:00:00,7.667,20.0
40,Mosaic,2024-09-16 08:00:00,7.667,20.0
41,Mosaic,2024-09-16 16:00:00,6.92,10.0
42,Palisade,2024-09-18 08:00:00,7.667,20.0
43,Palisade,2024-09-18 16:00:00,3.383,0.0
44,Sabro,2024-09-09 08:00:00,7.667,20.0
45,Sabro,2024-09-09 16:00:00,7.498,10.0
46,Simcoe,2024-08-26 06:00:00,7.667,20.0
47,Simcoe,2024-08-26 14:00:00,7.667,20.0
48,Simcoe,2024-08-26 22:00:00,7.667,20.0
49,Simcoe,2024-08-27 06:00:00,7.667,20.0
50,Simcoe,2024-08-27 14:00:00,7.667,20.0
51,Simcoe,2024-08-27 22:00:00,7.667,20.0
52,Simcoe,2024-08-28 06:00:00,7.667,20.0
53,Simcoe,2024-08-28 14:00:00,7.667,20.0
54,Simcoe,2024-08-28 22:00:00,7.667,20.0
55,Simcoe,2024-08-29 06:00:00,7.667,20.0
56,Simcoe,2024-08-29 14:00:00,7.667,20.0
57,Simcoe,2024-08-29 22:00:00,7.667,20.0
58,Simcoe,2024-08-30 06:00:00,7.667,20.0
59,Simcoe,2024-08-30 14:00:00,7.667,20.0
60,Simcoe,2024-08-30 22:00:00,7.667,20.0
61,Simcoe,2024-09-02 08:00:00,7.667,20.0
62,Simcoe,2024-09-02 16:00:00,7.667,20.0
63,Simcoe,2024-09-03 00:00:00,7.667,20.0
64,Simcoe,2024-09-03 08:00:00,7.557,10.0
65,Talus,2024-09-23 08:00:00,7.667,20.0
66,Talus,2024-09-23 16:00:00,7.667,20.0
67,Talus,2024-09-24 00:00:00,0.754,0.0
