,crop_year,machine,variety,is_mature,acres,vpm
140,2022,1,Citra,1,31.67,38.665
141,2022,1,Citra,1,33.6,44.996
142,2022,1,Citra,1,33.71,41.402
143,2022,1,Citra,1,36.2,49.959
144,2022,1,Citra,0,17.2,68.654
145,2022,1,Citra,1,17.31,33.154
146,2022,1,Citra,0,32.57,67.305
147,2022,1,Idaho 7,1,7.66,15.829
148,2022,1,HBC 638,1,14.85,15.528
149,2022,1,Experimental,1,1.2,17.78
150,2022,1,Experimental,1,11.89,117.447
151,2022,1,HBC 1019,0,4.89,56.344
152,2019,2,Simcoe,1,8.55,19.586
153,2019,2,Simcoe,1,18.19,21.39
154,2019,2,Simcoe,1,5.14,20.583
155,2019,2,Simcoe,1,11.41,19.133
156,2019,2,Mosaic,1,16.45,20.894
157,2019,2,Mosaic,1,31.13,14.995
158,2019,2,Mosaic,1,37.38,18.255
159,2019,2,Mosaic,1,0.92,15.579
160,2019,2,HBC 682,1,18.81,22.659
161,2019,2,HBC 682,1,17.56,22.295
162,2019,2,Palisade,1,7.5,24.871
163,2019,2,Palisade,1,34.97,18.893
164,2019,2,Citra,1,7.13,11.483
165,2019,2,Citra,1,7.17,24.523
166,2019,2,Citra,1,5.14,30.078
167,2019,2,Tomahawk,1,33.05,19.682
168,2019,2,Tomahawk,1,18.0,17.489
169,2019,2,Sabro,0,16.46,27.604
170,2019,2,Sabro,0,15.39,25.81
171,2019,2,Sabro,1,4.9,15.835
172,2019,2,Sabro,1,23.72,16.278
173,2019,2,Sabro,0,35.01,24.172
174,2019,2,HBC 638,1,1.02,19.13
175,2019,2,Talus,1,11.3,24.64
176,2019,2,HBC 472,1,4.9,16.297
177,2019,2,HBC 522,1,1.23,9.72
178,2019,2,Talus,1,1.23,12.15
179,2019,2,HBC 472,1,13.91,19.325
180,2019,2,Idaho 7,0,17.1,23.213
181,2019,2,Talus,0,20.9,37.536
182,2019,2,HBC 586,0,4.7,37.14
183,2020,2,Simcoe,1,8.55,31.926
184,2020,2,Simcoe,1,5.14,40.857
185,2020,2,Simcoe,1,11.41,39.279
186,2020,2,Ahtanum,1,32.64,21.063
187,2020,2,Ahtanum,1,19.62,22.863
188,2020,2,Mosaic,1,35.51,21.804
189,2020,2,Mosaic,1,0.92,27.263
190,2020,2,HBC 682,1,18.81,39.611
191,2020,2,Palisade,1,7.5,32.994
192,2020,2,Citra,1,7.13,15.853
193,2020,2,Citra,1,22.79,25.575
194,2020,2,Citra,1,7.17,31.543
195,2020,2,Citra,1,5.14,39.419
196,2020,2,Sabro,1,16.46,22.111
197,2020,2,Sabro,1,15.39,22.01
198,2020,2,Sabro,1,23.72,21.568
199,2020,2,Sabro,1,35.01,19.334
200,2020,2,Talus,1,11.95,28.352
201,2020,2,Talus,1,1.23,24.299
202,2020,2,Talus,1,17.1,23.138
203,2020,2,HBC 522,1,1.23,18.22
204,2020,2,HBC 472,1,4.9,34.165
205,2020,2,HBC 472,1,13.91,25.226
206,2020,2,Idaho 7,1,20.9,23.214
207,2020,2,Idaho 7,0,19.04,20.517
208,2020,2,HBC 586,0,15.0,21.167
209,2020,2,HBC 586,1,4.7,22.284
210,2020,2,HBC 638,0,10.76,30.867
211,2021,2,Simcoe,1,8.55,36.195
212,2021,2,Simcoe,1,5.17,17.677
213,2021,2,Simcoe,1,8.25,27.164
214,2021,2,Simcoe,0,23.36,27.146
215,2021,2,Simcoe,1,5.14,36.556
216,2021,2,Simcoe,1,11.41,34.978
217,2021,2,Ahtanum,1,23.3,18.051
218,2021,2,Mosaic,1,34.79,18.576
219,2021,2,Mosaic,1,0.92,16.358
220,2021,2,HBC 682,1,22.97,25.931
221,2021,2,Palisade,1,7.5,24.694
222,2021,2,Palisade,0,9.0,33.338
223,2021,2,Palisade,0,18.2,26.309
224,2021,2,Citra,1,18.78,30.917
225,2021,2,Citra,1,7.13,40.894
226,2021,2,Citra,0,35.3,32.436
227,2021,2,Citra,1,7.17,35.412
228,2021,2,Citra,1,36.2,35.758
229,2021,2,Citra,1,35.76,39.248
230,2021,2,Citra,1,5.14,39.734
231,2021,2,Sabro,1,35.01,18.693
232,2021,2,Talus,1,11.95,28.329
233,2021,2,Talus,1,17.1,24.13
234,2021,2,Talus,0,18.5,28.479
235,2021,2,HBC 522,1,1.23,16.2
236,2021,2,HBC 586,1,19.04,22.569
237,2021,2,HBC 586,1,4.7,26.529
238,2021,2,HBC 586,0,10.39,29.323
239,2022,2,Simcoe,0,16.03,23.943
240,2022,2,Simcoe,1,44.83,47.164
241,2022,2,Simcoe,1,7.83,32.376
242,2022,2,Simcoe,1,2.62,25.339
243,2022,2,Simcoe,1,10.63,34.003
244,2022,2,Ahtanum,1,23.3,23.015
245,2022,2,Mosaic,1,0.764,23.915
246,2022,2,HBC 682,0,3.51,29.054
247,2022,2,HBC 682,1,33.54,28.536
248,2022,2,HBC 682,1,32.45,32.191
249,2022,2,Palisade,1,9.17,22.028
250,2022,2,Palisade,1,18.2,19.85
251,2022,2,Citra,1,24.09,31.398
252,2022,2,Citra,1,6.7,34.35
253,2022,2,Citra,1,27.78,29.758
254,2022,2,Sabro,1,35.01,23.055
255,2022,2,Talus,1,11.95,30.138
256,2022,2,Talus,1,18.5,28.733
257,2022,2,Talus,1,17.1,33.927
258,2022,2,Talus,0,4.6,37.244
259,2022,2,Cascade,1,15.77,25.677
260,2022,2,HBC 522,1,1.23,24.3
261,2022,2,Idaho 7,1,11.38,17.833
262,2022,2,HBC 586,1,19.04,20.274
263,2022,2,HBC 586,1,15.09,21.813
264,2022,2,HBC  586,0,13.05,38.672
265,2018,1,HBC 342,1,8.36,27.526
266,2018,1,HBC 291,1,10.08,18.669
267,2018,1,HBC 291,1,34.18,21.55
268,2018,1,Simcoe,1,8.55,26.392
269,2018,1,Simcoe,1,18.19,34.553
270,2018,1,Simcoe,1,34.65,37.566
271,2018,1,Simcoe,1,31.23,34.024
272,2018,1,Simcoe,1,36.44,35.521
273,2018,1,Simcoe,1,35.65,40.632
274,2018,1,Simcoe,1,12.73,39.295
275,2018,1,Simcoe,1,33.57,27.944
276,2018,1,Simcoe,1,25.26,45.829
277,2018,1,Simcoe,1,35.82,27.642
278,2018,1,Simcoe,1,5.14,34.617
279,2018,1,Simcoe,1,11.41,27.267
280,2018,1,Simcoe,0,33.99,67.149
281,2018,1,Simcoe,0,35.14,54.806
282,2018,1,Ahtanum,1,32.64,13.341
283,2018,1,Ahtanum,1,23.3,14.691
284,2018,1,Mosaic,1,16.45,23.213
285,2018,1,Mosaic,1,31.13,23.062
286,2018,1,Mosaic,1,21.52,20.571
287,2018,1,Mosaic,1,34.84,22.444
288,2018,1,Mosaic,1,27.25,23.072
289,2018,1,Mosaic,1,35.51,25.054
290,2018,1,Mosaic,1,37.38,19.78
291,2018,1,Mosaic,1,36.73,17.843
292,2018,1,Mosaic,1,0.92,9.088
293,2018,1,Equinox,1,19.2,24.737
294,2018,1,Equinox,1,10.63,21.724
295,2018,1,Equinox,1,7.2,26.67
296,2018,1,HBC 682,1,18.81,34.838
297,2018,1,HBC 682,1,33.54,27.23
298,2018,1,HBC 682,1,10.37,21.193
299,2018,1,HBC 682,1,17.56,26.018
300,2018,1,Nursery,1,1.2,23.707
301,2018,1,Nursery,1,11.34,42.005
302,2018,1,Palisade,1,33.21,18.745
303,2018,1,Palisade,1,7.5,23.395
304,2018,1,Palisade,1,34.97,16.449
305,2018,1,Citra,1,18.78,40.92
306,2018,1,Citra,1,7.13,40.632
307,2018,1,Citra,0,24.62,46.767
308,2018,1,Citra,1,16.29,22.987
309,2018,1,Citra,1,33.6,32.753
310,2018,1,Citra,1,33.6,31.115
311,2018,1,Citra,0,34.72,41.995
312,2018,1,Citra,1,7.17,22.132
313,2018,1,Citra,0,35.76,31.167
314,2018,1,Citra,0,5.14,38.079
315,2018,1,Tomahawk,1,16.46,27.872
316,2018,1,Tomahawk,1,15.73,21.681
317,2018,1,Tomahawk,1,33.05,20.404
318,2018,1,Tomahawk,1,18.0,22.225
319,2018,1,HBC 567,1,2.34,17.336
320,2018,1,HBC 568,1,1.17,13.868
321,2018,1,HBC 472,1,1.0,9.878
322,2018,1,HBC 630,1,0.8,15.804
323,2018,1,HBC 638,1,1.0,14.817
324,2018,1,Talus,0,4.2,24.892
325,2018,1,HBC ,0,6.1,25.823
326,2018,1,HBC 438,1,4.9,24.201
327,2018,1,HBC 472,1,4.9,20.743
328,2018,1,HBC 522,1,1.23,12.15
329,2018,1,Talus,1,1.23,18.224
330,2018,1,HBC 472,0,13.91,32.976
331,2018,1,HBC 438,0,23.72,45.349
332,2017,1,Simcoe,1,13.26,37.782
333,2017,1,Simcoe,1,23.75,36.656
334,2017,1,Simcoe,1,5.98,44.302
335,2017,1,Simcoe,1,36.71,43.865
336,2017,1,Simcoe,1,24.8,38.276
337,2017,1,Simcoe,1,35.82,22.489
338,2017,1,Simcoe,1,5.14,63.465
339,2017,1,Simcoe,1,11.41,30.189
340,2017,1,Simcoe,1,35.1,50.006
341,2017,1,Ahtanum,1,8.36,28.152
342,2017,1,Ahtanum,1,22.78,28.127
343,2017,1,Ahtanum,0,32.64,34.544
344,2017,1,Ahtanum,0,23.3,49.318
345,2017,1,Ahtanum,1,4.35,42.968
346,2017,1,Mosaic,1,16.45,21.194
347,2017,1,Mosaic,1,31.13,21.964
348,2017,1,Mosaic,1,21.52,19.325
349,2017,1,Mosaic,1,34.84,17.8
350,2017,1,Mosaic,1,27.25,20.705
351,2017,1,Mosaic,1,35.51,23.384
352,2017,1,Mosaic,1,37.38,23.32
353,2017,1,Mosaic,1,36.73,19.264
354,2017,1,Mosaic,1,0.92,9.088
355,2017,1,Equinox,1,20.35,18.845
356,2017,1,Equinox,1,19.2,27.093
357,2017,1,Equinox,1,10.63,21.0
358,2017,1,Equinox,1,17.03,20.598
359,2017,1,HBC 682,1,18.81,39.814
360,2017,1,HBC 682,1,10.37,19.206
361,2017,1,HBC 682,1,17.56,33.572
362,2017,1,Nursery,1,1.2,35.56
363,2017,1,Nursery,1,11.72,43.413
