Observation,Year,Field,Variety,Maturity,Acres,String,String Count,Target VPM,Target Hrs,Acutal Hrs,Actual VPM,VPM Per Machine,Machine Type
1,2020,68,HBC 682,mature,35.4,2,62941.2,60,17.48366667,20.84,50.33685221,25.1684261,PH
1,2020,77,HBC 682,mature,22.97,2,40840.66,60,11.34462778,17.34,39.2547674,19.6273837,PH
1,2020,79,HBC 682,mature,33.96,2,60380.88,60,16.77246667,20.67,48.68640542,24.34320271,PH
1,2020,Loc-40,HBC 682,mature,17.56,2.5,39027.1,60,10.84086111,8.08,80.50144389,80.50144389,PH
1,2020,Whitener,HBC 682,babies,32.45,2,57696.1,70,13.73716667,9.83,97.82316039,97.82316039,PH
1,2020,1,Citra,mature,18.78,2.5,41738.55,60,11.59404167,8.84,78.6925905,39.34629525,PH
1,2020,24,Citra,mature,24.62,2.5,54717.95,60,15.19943056,10,91.19658333,45.59829167,PH
1,2020,59,Citra,mature,33.6,2.5,74676,60,20.74333333,15.17,82.04350692,41.02175346,PH
1,2020,60,Citra,mature,33.6,2.5,74676,60,20.74333333,13.5,92.19259259,46.0962963,PH
1,2020,63,Citra,mature,34.72,3,92598.24,65,23.74313846,13.66,112.979795,56.48989751,PH
1,2020,2,Citra,mature,36.2,2.5,80454.5,65,20.62935897,14.25,94.09883041,47.0494152,PH
1,2020,Waterberry,Citra,mature,35.76,2.5,79476.6,60,22.07683333,14.92,88.7808311,44.39041555,PH
1,2020,64,Citra,babies,17.31,2,30777.18,65,7.891584615,5.66,90.62773852,45.31386926,PH
1,2021,# 14,Simcoe,mature,18.19,3,48512.73,80,10.10681875,9,89.83838889,44.91919444,PH
1,2021,# 15,Simcoe,mature,34.65,3,92411.55,80,19.25240625,15.75,97.79,48.895,PH
1,2021,# 16,Simcoe,mature,26.06,3,69502.02,80,14.4795875,14.25,81.28891228,40.64445614,PH
1,2021,3,Simcoe,mature,36.44,3,97185.48,80,20.246975,15.5,104.5005161,52.25025806,PH
1,2021,# 47,Simcoe,mature,44.83,3,119561.61,80,24.90866875,24.5,81.33442857,40.66721429,PH
1,2021,53,Simcoe,mature,33.57,3,89531.19,80,18.65233125,17.25,86.50356522,43.25178261,PH
